"fixNum","session","subj","meanX","nFix"
"1",2,"2","1",104.882352941176,17
"2",2,"2","2",82.9,20
"3",2,"2","3",138,10
"4",2,"2","4",97.65,20
"5",2,"2","5",-67.6,20
"6",2,"2","6",-8.38461538461539,13
"7",2,"2","7",-11.2777777777778,18
"8",2,"2","8",-388.272727272727,11
"9",2,"2","9",-3.25,20
"10",2,"2","10",53.4736842105263,19
"11",2,"2","15",-265,17
"12",2,"2","16",4.85,20
"13",2,"2","17",29.6111111111111,18
"14",2,"2","18",-210.4,20
"15",2,"2","20",-0.3125,16
