"fixNum","session","subj","meanX","nFix"
11,"1","12",-119.352941176471,17
11,"1","13",-327.666666666667,18
11,"1","15",114.285714285714,14
11,"1","16",79.2857142857143,7
11,"1","18",-243.375,8
11,"1","19",344.5,4
11,"1","20",-208.75,8
11,"2","1",-122.473684210526,19
11,"2","2",20.72,25
11,"2","5",83.8125,16
11,"2","6",-148.5,8
11,"2","7",17.3,10
11,"2","8",-161.4,15
11,"2","9",-20.5625,16
11,"2","10",-126.909090909091,11
11,"2","12",-52.6111111111111,18
11,"2","13",-54.8333333333333,12
11,"2","15",115.454545454545,11
11,"2","16",194.066666666667,15
11,"2","17",18.2380952380952,21
11,"2","18",-370.526315789474,19
11,"2","19",478,2
11,"2","20",-197,1
12,"1","1",-133.333333333333,6
12,"1","5",36.4615384615385,13
12,"1","6",224,1
12,"1","7",27,3
12,"1","8",51.7777777777778,9
12,"1","9",19,2
12,"1","10",-7.45454545454545,11
12,"1","11",252.470588235294,17
12,"1","12",-139.769230769231,13
12,"1","13",-213.666666666667,15
12,"1","15",40.1818181818182,11
12,"1","16",121.5,4
12,"1","18",-290.375,8
12,"1","19",251.666666666667,3
12,"1","20",44.8571428571429,7
12,"2","1",-125.823529411765,17
12,"2","2",-19.8823529411765,17
12,"2","5",171.4,15
12,"2","6",111,4
12,"2","7",100.142857142857,7
12,"2","8",-108.363636363636,11
12,"2","9",-13.1818181818182,11
12,"2","10",-72.25,8
12,"2","12",72.9411764705882,17
12,"2","13",-260.9,10
12,"2","15",92.1111111111111,9
12,"2","16",217.428571428571,14
12,"2","17",55.1,10
12,"2","18",-404.368421052632,19
12,"2","20",3,1
13,"1","1",-20,3
13,"1","5",69.7272727272727,11
13,"1","7",47,1
13,"1","8",77,7
13,"1","10",-138.428571428571,7
13,"1","11",264.909090909091,11
13,"1","12",22.2222222222222,9
13,"1","13",-105.545454545455,11
13,"1","15",-4.5,6
13,"1","16",-66,1
13,"1","18",-306.666666666667,3
13,"1","19",226,1
13,"1","20",119.285714285714,7
13,"2","1",-119.142857142857,14
13,"2","2",-41.6666666666667,6
13,"2","5",130.666666666667,9
13,"2","7",-254,4
13,"2","8",58.3333333333333,6
13,"2","9",103,2
13,"2","10",114.2,5
13,"2","12",213.529411764706,17
13,"2","13",40,4
13,"2","15",-109.2,5
13,"2","16",264,9
13,"2","17",298,3
13,"2","18",-381.8,15
13,"2","20",110,1
14,"1","5",10.3333333333333,6
14,"1","8",229,1
14,"1","10",-167.4,5
14,"1","11",153.5,4
14,"1","12",55.2857142857143,7
14,"1","13",-145.5,4
14,"1","18",-320.5,2
14,"1","20",100.666666666667,3
14,"2","1",1.625,8
14,"2","2",-144,2
14,"2","5",103,6
14,"2","7",-272,1
14,"2","8",-108.5,2
14,"2","10",65.6666666666667,3
14,"2","12",-36.2666666666667,15
14,"2","13",-347,2
14,"2","15",-155,1
14,"2","17",387.5,2
14,"2","18",-465.6,5
14,"2","20",305,1
15,"1","5",28.5,2
15,"1","10",-164.25,4
15,"1","11",174,2
15,"1","12",-91,2
15,"1","20",-182.666666666667,3
15,"2","1",26.75,4
15,"2","5",314,1
15,"2","8",-39,2
15,"2","10",-240,1
15,"2","12",-11.7692307692308,13
15,"2","18",-483,1
15,"2","20",437,1
16,"1","10",-50.5,2
16,"1","12",-223,1
16,"2","5",425,1
16,"2","10",-329,1
16,"2","12",143,4
17,"1","12",9,1
17,"2","12",76,1
18,"2","12",145,1
